"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2023 03:00:00 - 03/01/2023 03:15:00","BZN|HU","9.75","3.12","3.12","1.10"
"03/01/2023 03:15:00 - 03/01/2023 03:30:00","BZN|HU","9.97","2.82","2.82","1.28"
"03/01/2023 03:30:00 - 03/01/2023 03:45:00","BZN|HU","10.18","3.65","3.65","0.90"
"03/01/2023 03:45:00 - 03/01/2023 04:00:00","BZN|HU","10.40","4.48","4.48","1.02"
"03/01/2023 04:00:00 - 03/01/2023 04:15:00","BZN|HU","10.84","5.57","5.57","1.81"
"03/01/2023 04:15:00 - 03/01/2023 04:30:00","BZN|HU","11.51","4.32","4.32","2.65"
"03/01/2023 04:30:00 - 03/01/2023 04:45:00","BZN|HU","12.18","5.96","5.96","2.46"
"03/01/2023 04:45:00 - 03/01/2023 05:00:00","BZN|HU","12.84","7.45","7.45","2.30"
"03/01/2023 05:00:00 - 03/01/2023 05:15:00","BZN|HU","13.54","8.70","8.70","5.70"
"03/01/2023 05:15:00 - 03/01/2023 05:30:00","BZN|HU","14.27","4.61","4.61","12.92"
"03/01/2023 05:30:00 - 03/01/2023 05:45:00","BZN|HU","14.99","5.89","5.89","15.20"
"03/01/2023 05:45:00 - 03/01/2023 06:00:00","BZN|HU","15.72","7.16","7.16","13.73"
"03/01/2023 06:00:00 - 03/01/2023 06:15:00","BZN|HU","16.66","8.21","8.21","11.29"
"03/01/2023 06:15:00 - 03/01/2023 06:30:00","BZN|HU","17.81","15.96","15.96","11.32"
"03/01/2023 06:30:00 - 03/01/2023 06:45:00","BZN|HU","18.97","16.13","16.13","8.90"
"03/01/2023 06:45:00 - 03/01/2023 07:00:00","BZN|HU","20.12","16.31","16.31","8.30"
"03/01/2023 07:00:00 - 03/01/2023 07:15:00","BZN|HU","21.22","15.15","15.15","8.84"
"03/01/2023 07:15:00 - 03/01/2023 07:30:00","BZN|HU","22.27","9.89","9.89","12.12"
"03/01/2023 07:30:00 - 03/01/2023 07:45:00","BZN|HU","23.33","11.13","11.13","15.80"
"03/01/2023 07:45:00 - 03/01/2023 08:00:00","BZN|HU","24.38","12.35","12.35","16.31"
"03/01/2023 08:00:00 - 03/01/2023 08:15:00","BZN|HU","25.38","13.95","13.95","14.72"
"03/01/2023 08:15:00 - 03/01/2023 08:30:00","BZN|HU","26.32","18.62","18.62","14.01"
"03/01/2023 08:30:00 - 03/01/2023 08:45:00","BZN|HU","27.27","20.24","20.24","14.02"
"03/01/2023 08:45:00 - 03/01/2023 09:00:00","BZN|HU","28.21","21.86","21.86","18.47"
"03/01/2023 09:00:00 - 03/01/2023 09:15:00","BZN|HU","28.93","23.44","23.44","22.65"
"03/01/2023 09:15:00 - 03/01/2023 09:30:00","BZN|HU","29.43","18.35","18.35","26.97"
"03/01/2023 09:30:00 - 03/01/2023 09:45:00","BZN|HU","29.93","20.65","20.65","27.08"
"03/01/2023 09:45:00 - 03/01/2023 10:00:00","BZN|HU","30.42","22.95","22.95","31.99"
"03/01/2023 10:00:00 - 03/01/2023 10:15:00","BZN|HU","31.03","25.00","25.00","36.23"
"03/01/2023 10:15:00 - 03/01/2023 10:30:00","BZN|HU","31.75","28.44","28.44","37.04"
"03/01/2023 10:30:00 - 03/01/2023 10:45:00","BZN|HU","32.48","29.74","29.74","29.61"
"03/01/2023 10:45:00 - 03/01/2023 11:00:00","BZN|HU","33.20","31.04","31.04","24.68"
"03/01/2023 11:00:00 - 03/01/2023 11:15:00","BZN|HU","33.57","30.84","30.84","26.44"
"03/01/2023 11:15:00 - 03/01/2023 11:30:00","BZN|HU","33.59","28.69","28.69","25.23"
"03/01/2023 11:30:00 - 03/01/2023 11:45:00","BZN|HU","33.61","29.25","29.25","22.58"
"03/01/2023 11:45:00 - 03/01/2023 12:00:00","BZN|HU","33.63","29.82","29.82","27.19"
"03/01/2023 12:00:00 - 03/01/2023 12:15:00","BZN|HU","33.70","29.97","29.97","24.24"
"03/01/2023 12:15:00 - 03/01/2023 12:30:00","BZN|HU","33.82","22.36","22.36","24.95"
"03/01/2023 12:30:00 - 03/01/2023 12:45:00","BZN|HU","33.93","24.10","24.10","21.88"
"03/01/2023 12:45:00 - 03/01/2023 13:00:00","BZN|HU","34.05","25.18","25.18","21.88"
"03/01/2023 13:00:00 - 03/01/2023 13:15:00","BZN|HU","33.98","26.56","26.56","16.91"
"03/01/2023 13:15:00 - 03/01/2023 13:30:00","BZN|HU","33.71","21.40","21.40","15.83"
"03/01/2023 13:30:00 - 03/01/2023 13:45:00","BZN|HU","33.45","21.75","21.75","17.41"
"03/01/2023 13:45:00 - 03/01/2023 14:00:00","BZN|HU","33.19","22.11","22.11","18.35"
"03/01/2023 14:00:00 - 03/01/2023 14:15:00","BZN|HU","33.37","22.58","22.58","18.94"
"03/01/2023 14:15:00 - 03/01/2023 14:30:00","BZN|HU","34.02","18.52","18.52","22.41"
"03/01/2023 14:30:00 - 03/01/2023 14:45:00","BZN|HU","34.66","19.57","19.57","26.94"
"03/01/2023 14:45:00 - 03/01/2023 15:00:00","BZN|HU","35.30","20.63","20.63","29.86"
"03/01/2023 15:00:00 - 03/01/2023 15:15:00","BZN|HU","35.80","21.88","21.88","29.88"
"03/01/2023 15:15:00 - 03/01/2023 15:30:00","BZN|HU","36.16","27.07","27.07","33.07"
"03/01/2023 15:30:00 - 03/01/2023 15:45:00","BZN|HU","36.53","28.30","28.30","37.32"
"03/01/2023 15:45:00 - 03/01/2023 16:00:00","BZN|HU","36.89","29.53","29.53","35.00"
"03/01/2023 16:00:00 - 03/01/2023 16:15:00","BZN|HU","36.84","30.59","30.59","40.80"
"03/01/2023 16:15:00 - 03/01/2023 16:30:00","BZN|HU","36.38","34.81","34.81","46.91"
"03/01/2023 16:30:00 - 03/01/2023 16:45:00","BZN|HU","35.91","35.55","35.55","46.60"
